n_topics,topic,word_idx,weight
3.0,1.0,0.0,3.7511306061333016e-08
3.0,1.0,1.0,0.9997261166572571
3.0,1.0,2.0,3.868556675001855e-08
3.0,1.0,3.0,3.75992073031739e-08
3.0,1.0,4.0,3.7511306061333016e-08
3.0,1.0,5.0,3.7511306061333016e-08
3.0,1.0,6.0,3.7511306061333016e-08
3.0,1.0,7.0,3.7511306061333016e-08
3.0,1.0,8.0,3.7511306061333016e-08
3.0,1.0,9.0,3.7645449424417166e-08
3.0,1.0,10.0,3.7536043606678504e-08
3.0,1.0,11.0,4.137271858439817e-08
3.0,1.0,12.0,3.7511306061333016e-08
3.0,1.0,13.0,3.7511306061333016e-08
3.0,1.0,14.0,3.7511306061333016e-08
3.0,1.0,15.0,3.7511306061333016e-08
3.0,1.0,16.0,3.7511306061333016e-08
3.0,1.0,17.0,0.00027311965823173523
3.0,1.0,18.0,3.7530320184941957e-08
3.0,1.0,19.0,3.815789639816103e-08
3.0,1.0,20.0,3.7511306061333016e-08
3.0,1.0,21.0,3.7511306061333016e-08
3.0,1.0,22.0,3.7511306061333016e-08
3.0,1.0,23.0,3.7511306061333016e-08
3.0,2.0,0.0,2.5722468421918165e-07
3.0,2.0,1.0,0.0025401173625141382
3.0,2.0,2.0,0.9966857433319092
3.0,2.0,3.0,3.120101609965786e-05
3.0,2.0,4.0,2.5722468421918165e-07
3.0,2.0,5.0,2.5722468421918165e-07
3.0,2.0,6.0,2.5722468421918165e-07
3.0,2.0,7.0,2.5722468421918165e-07
3.0,2.0,8.0,2.5722468421918165e-07
3.0,2.0,9.0,2.5823521809797967e-07
3.0,2.0,10.0,0.00045053474605083466
3.0,2.0,11.0,1.1068315188822453e-06
3.0,2.0,12.0,2.5722468421918165e-07
3.0,2.0,13.0,2.5722468421918165e-07
3.0,2.0,14.0,2.5722468421918165e-07
3.0,2.0,15.0,2.5722468421918165e-07
3.0,2.0,16.0,2.5722468421918165e-07
3.0,2.0,17.0,2.5924657620635116e-07
3.0,2.0,18.0,0.00028652723995037377
3.0,2.0,19.0,3.459730066879274e-07
3.0,2.0,20.0,2.5722468421918165e-07
3.0,2.0,21.0,2.5722468421918165e-07
3.0,2.0,22.0,2.5722468421918165e-07
3.0,2.0,23.0,2.5722468421918165e-07
3.0,3.0,0.0,9.103238767238508e-07
3.0,3.0,1.0,0.005939431022852659
3.0,3.0,2.0,9.14085433123546e-07
3.0,3.0,3.0,9.653069810156012e-07
3.0,3.0,4.0,9.103238767238508e-07
3.0,3.0,5.0,9.103238767238508e-07
3.0,3.0,6.0,9.103238767238508e-07
3.0,3.0,7.0,9.103238767238508e-07
3.0,3.0,8.0,9.103238767238508e-07
3.0,3.0,9.0,0.9208284616470337
3.0,3.0,10.0,0.0731973946094513
3.0,3.0,11.0,2.2742249257134972e-06
3.0,3.0,12.0,9.103238767238508e-07
3.0,3.0,13.0,9.103238767238508e-07
3.0,3.0,14.0,9.103238767238508e-07
3.0,3.0,15.0,9.103238767238508e-07
3.0,3.0,16.0,9.103238767238508e-07
3.0,3.0,17.0,1.4976703823776916e-05
3.0,3.0,18.0,1.0111857591255102e-06
3.0,3.0,19.0,9.749654736879165e-07
3.0,3.0,20.0,9.103238767238508e-07
3.0,3.0,21.0,9.103238767238508e-07
3.0,3.0,22.0,9.103238767238508e-07
3.0,3.0,23.0,9.103238767238508e-07
5.0,1.0,0.0,6.901450433360878e-06
5.0,1.0,1.0,0.01699523814022541
5.0,1.0,2.0,0.00025959554477594793
5.0,1.0,3.0,6.964439307921566e-06
5.0,1.0,4.0,6.901450433360878e-06
5.0,1.0,5.0,6.901450433360878e-06
5.0,1.0,6.0,6.901450433360878e-06
5.0,1.0,7.0,6.901450433360878e-06
5.0,1.0,8.0,6.901450433360878e-06
5.0,1.0,9.0,0.037581220269203186
5.0,1.0,10.0,0.9450194835662842
5.0,1.0,11.0,1.2488891115935985e-05
5.0,1.0,12.0,6.901450433360878e-06
5.0,1.0,13.0,6.901450433360878e-06
5.0,1.0,14.0,6.901450433360878e-06
5.0,1.0,15.0,6.901450433360878e-06
5.0,1.0,16.0,6.901450433360878e-06
5.0,1.0,17.0,7.067949354677694e-06
5.0,1.0,18.0,6.987176675465889e-06
5.0,1.0,19.0,7.352273314609192e-06
5.0,1.0,20.0,6.901450433360878e-06
5.0,1.0,21.0,6.901450433360878e-06
5.0,1.0,22.0,6.901450433360878e-06
5.0,1.0,23.0,6.901450433360878e-06
5.0,2.0,0.0,2.189218974990581e-07
5.0,2.0,1.0,0.000889210554305464
5.0,2.0,2.0,0.9990617632865906
5.0,2.0,3.0,4.428245301824063e-05
5.0,2.0,4.0,2.189218974990581e-07
5.0,2.0,5.0,2.189218974990581e-07
5.0,2.0,6.0,2.189218974990581e-07
5.0,2.0,7.0,2.189218974990581e-07
5.0,2.0,8.0,2.189218974990581e-07
5.0,2.0,9.0,2.1905151470491546e-07
5.0,2.0,10.0,2.189590162515742e-07
5.0,2.0,11.0,3.7123444940334593e-07
5.0,2.0,12.0,2.189218974990581e-07
5.0,2.0,13.0,2.189218974990581e-07
5.0,2.0,14.0,2.189218974990581e-07
5.0,2.0,15.0,2.189218974990581e-07
5.0,2.0,16.0,2.189218974990581e-07
5.0,2.0,17.0,2.1897017177252565e-07
5.0,2.0,18.0,2.1895468194088608e-07
5.0,2.0,19.0,2.440009154724976e-07
5.0,2.0,20.0,2.189218974990581e-07
5.0,2.0,21.0,2.189218974990581e-07
5.0,2.0,22.0,2.189218974990581e-07
5.0,2.0,23.0,2.189218974990581e-07
5.0,3.0,0.0,2.786345874028484e-07
5.0,3.0,1.0,0.47164440155029297
5.0,3.0,2.0,0.5278326869010925
5.0,3.0,3.0,2.7863461582455784e-07
5.0,3.0,4.0,2.786345874028484e-07
5.0,3.0,5.0,2.786345874028484e-07
5.0,3.0,6.0,2.786345874028484e-07
