n_topics,topic,word_idx,weight
3.0,1.0,0.0,0.00017523238784633577
3.0,1.0,1.0,0.00013352566747926176
3.0,1.0,2.0,0.0001310723600909114
3.0,1.0,3.0,0.00013230602780822664
3.0,1.0,4.0,0.005906077567487955
3.0,1.0,5.0,0.00012755759235005826
3.0,1.0,6.0,0.00012755759235005826
3.0,1.0,7.0,0.00012755759235005826
3.0,1.0,8.0,0.6715735793113708
3.0,1.0,9.0,0.18078263103961945
3.0,1.0,10.0,0.11002746224403381
3.0,1.0,11.0,0.029224826022982597
3.0,1.0,12.0,0.00012755759235005826
3.0,1.0,13.0,0.00012755759235005826
3.0,1.0,14.0,0.00012755759235005826
3.0,1.0,15.0,0.00012755759235005826
3.0,1.0,16.0,0.00012755759235005826
3.0,1.0,17.0,0.00012755759235005826
3.0,1.0,18.0,0.00012755759235005826
3.0,1.0,19.0,0.00012755759235005826
3.0,1.0,20.0,0.00012755759235005826
3.0,1.0,21.0,0.00012755759235005826
3.0,1.0,22.0,0.00012755759235005826
3.0,1.0,23.0,0.00012755759235005826
3.0,2.0,0.0,0.9999998211860657
3.0,2.0,1.0,6.844815825246542e-09
3.0,2.0,2.0,6.782573613861587e-09
3.0,2.0,3.0,7.145195990432285e-09
3.0,2.0,4.0,6.581194256227718e-09
3.0,2.0,5.0,6.5682410621548115e-09
3.0,2.0,6.0,6.5682410621548115e-09
3.0,2.0,7.0,6.5682410621548115e-09
3.0,2.0,8.0,6.568516841554128e-09
3.0,2.0,9.0,6.5682708161318715e-09
3.0,2.0,10.0,6.5682557170987366e-09
3.0,2.0,11.0,6.568253940741897e-09
3.0,2.0,12.0,6.5682410621548115e-09
3.0,2.0,13.0,6.5682410621548115e-09
3.0,2.0,14.0,6.5682410621548115e-09
3.0,2.0,15.0,6.5682410621548115e-09
3.0,2.0,16.0,6.5682410621548115e-09
3.0,2.0,17.0,6.5682410621548115e-09
3.0,2.0,18.0,6.5682410621548115e-09
3.0,2.0,19.0,6.5682410621548115e-09
3.0,2.0,20.0,6.5682410621548115e-09
3.0,2.0,21.0,6.5682410621548115e-09
3.0,2.0,22.0,6.5682410621548115e-09
3.0,2.0,23.0,6.5682410621548115e-09
3.0,3.0,0.0,0.008186807855963707
3.0,3.0,1.0,0.630719006061554
3.0,3.0,2.0,0.23773349821567535
3.0,3.0,3.0,0.12335999310016632
3.0,3.0,4.0,3.224461764261832e-08
3.0,3.0,5.0,3.222409716840957e-08
3.0,3.0,6.0,3.222409716840957e-08
3.0,3.0,7.0,3.222409716840957e-08
3.0,3.0,8.0,3.222456612661517e-08
3.0,3.0,9.0,3.222537614533394e-08
3.0,3.0,10.0,3.222493560883777e-08
3.0,3.0,11.0,3.22245448103331e-08
3.0,3.0,12.0,3.222409716840957e-08
3.0,3.0,13.0,3.222409716840957e-08
3.0,3.0,14.0,3.222409716840957e-08
3.0,3.0,15.0,3.222409716840957e-08
3.0,3.0,16.0,3.222409716840957e-08
3.0,3.0,17.0,3.222409716840957e-08
3.0,3.0,18.0,3.222409716840957e-08
3.0,3.0,19.0,3.222409716840957e-08
3.0,3.0,20.0,3.222409716840957e-08
3.0,3.0,21.0,3.222409716840957e-08
3.0,3.0,22.0,3.222409716840957e-08
3.0,3.0,23.0,3.222409716840957e-08
5.0,1.0,0.0,0.00016677609528414905
5.0,1.0,1.0,0.00011442334653111175
5.0,1.0,2.0,0.0001141909888247028
5.0,1.0,3.0,0.00011413815809646621
5.0,1.0,4.0,0.00011413032189011574
5.0,1.0,5.0,0.00011412216554163024
5.0,1.0,6.0,0.00011412216554163024
5.0,1.0,7.0,0.00011412216554163024
5.0,1.0,8.0,0.9973215460777283
5.0,1.0,9.0,0.00011470834579085931
5.0,1.0,10.0,0.00011415165499784052
5.0,1.0,11.0,0.00011414438631618395
5.0,1.0,12.0,0.00011412216554163024
5.0,1.0,13.0,0.00011412216554163024
5.0,1.0,14.0,0.00011412216554163024
5.0,1.0,15.0,0.00011412216554163024
5.0,1.0,16.0,0.00011412216554163024
5.0,1.0,17.0,0.00011412216554163024
5.0,1.0,18.0,0.00011412216554163024
5.0,1.0,19.0,0.00011412216554163024
5.0,1.0,20.0,0.00011412216554163024
5.0,1.0,21.0,0.00011412216554163024
5.0,1.0,22.0,0.00011412216554163024
5.0,1.0,23.0,0.00011412216554163024
5.0,2.0,0.0,0.003308689221739769
5.0,2.0,1.0,3.397939508431591e-05
5.0,2.0,2.0,0.6561691761016846
5.0,2.0,3.0,0.3404870927333832
5.0,2.0,4.0,5.336661956789612e-08
5.0,2.0,5.0,5.336508479558688e-08
5.0,2.0,6.0,5.336508479558688e-08
5.0,2.0,7.0,5.336508479558688e-08
5.0,2.0,8.0,5.3365134533578384e-08
5.0,2.0,9.0,5.336512387543735e-08
5.0,2.0,10.0,5.336512387543735e-08
5.0,2.0,11.0,5.336511677000999e-08
5.0,2.0,12.0,5.336508479558688e-08
5.0,2.0,13.0,5.336508479558688e-08
5.0,2.0,14.0,5.336508479558688e-08
5.0,2.0,15.0,5.336508479558688e-08
5.0,2.0,16.0,5.336508479558688e-08
5.0,2.0,17.0,5.336508479558688e-08
5.0,2.0,18.0,5.336508479558688e-08
5.0,2.0,19.0,5.336508479558688e-08
5.0,2.0,20.0,5.336508479558688e-08
